level;character;pinyin
hsk1;米饭;mǐfàn
hsk1;面包;miànbāo
hsk1;面条儿;miàn tiáor
hsk1;名字;míngzi
hsk1;明白;míngbai
hsk1;明年;míng nián
hsk1;明天;míngtiān
hsk1;拿;ná
hsk1;哪;nǎ
hsk1;哪里;nǎ lǐ
hsk1;哪儿;nǎr
hsk1;哪些;nǎ xiē
hsk1;那;nà
hsk1;那边;nà biān
hsk1;那里;nà lǐ
hsk1;那儿;nàr
hsk1;那些;nà xiē
hsk1;奶;nǎi
hsk1;奶奶;nǎinai
hsk1;男;nán
hsk1;男孩儿;nán háir
hsk1;男朋友;nán péng yǒu
hsk1;男人;nán ren
hsk1;男生;nán shēng
hsk1;南;nán
hsk1;南边;nán biān
hsk1;难;nán
hsk1;呢;ne
hsk1;能;néng
hsk1;你;nǐ
hsk1;你们;nǐ men
hsk1;年;nián
hsk1;您;nín
hsk1;牛奶;niúnǎi
hsk1;女;nǚ
hsk1;女儿;nǚ’ér
hsk1;女孩儿;nǚ háir
hsk1;女朋友;nǚ péng yǒu
hsk1;女人;nǚ ren
hsk1;女生;nǚ shēng
hsk1;旁边;pángbiān
hsk1;跑;pǎo
hsk1;朋友;péngyou
hsk1;票;piào
hsk1;七;qī
hsk1;起;qǐ
hsk1;起床;qǐchuáng
hsk1;起来;qǐlái
hsk1;汽车;qì chē
hsk1;前;qián
hsk1;前边;qián biān
hsk1;前天;qián tiān
hsk1;钱;qián
hsk1;钱包;qián bāo
hsk1;请;qǐng
hsk1;请假;qǐngjià
hsk1;请进;qǐng jìn
hsk1;请问;qǐng wèn
hsk1;请坐;qǐng zuò
hsk1;球;qiú
hsk1;去;qù
hsk1;去年;qùnián
hsk1;热;rè
hsk1;人;rén
hsk1;认识;rènshi
hsk1;认真;rènzhēn
hsk1;日;rì
hsk1;日期;rìqī
hsk1;肉;ròu
hsk1;三;sān
hsk1;山;shān
hsk1;商场;shāng chǎng
hsk1;商店;shāngdiàn
hsk1;上;shàng
hsk1;上班;shàngbān
hsk1;上边;shàng biān
hsk1;上车;shàng chē
hsk1;上次;shàng cì
hsk1;上课;shàng kè
hsk1;上网;shàngwǎng
hsk1;上午;shàngwǔ
hsk1;上学;shàng xué
hsk1;少;shǎo
hsk1;谁;shéi
hsk1;身上;shēn shàng
hsk1;身体;shēntǐ
hsk1;什么;shénme
hsk1;生病;shēngbìng
hsk1;生气;shēngqì
hsk1;生日;shēngrì
hsk1;十;shí
hsk1;时候;shíhou
hsk1;时间;shíjiān
hsk1;事;shì
hsk1;试;shì
hsk1;是;shì
hsk1;是不是;shì bú shì
hsk1;手;shǒu
hsk1;手机;shǒujī
hsk1;书;shū
hsk1;书包;shū bāo
hsk1;书店;shū diàn
hsk1;树;shù
hsk1;水;shuǐ
hsk1;水果;shuǐguǒ
hsk1;睡;shuì
hsk1;睡觉;shuìjiào
